"File","Name","Hits","ExternalHits"
".\backend\src\activities\activities.controller.spec.ts","activities.controller.spec","4","1"
".\backend\src\activities\activities.controller.ts","activities.controller","14","11"
".\backend\src\activities\activities.module.ts","activities.module","10","7"
".\backend\src\activities\activities.service.cache.spec.ts","activities.service.cache.spec","4","1"
".\backend\src\activities\activities.service.spec.ts","activities.service.spec","12","9"
".\backend\src\activities\activities.service.ts","activities.service","30","27"
".\backend\src\admin\admin.controller.spec.ts","admin.controller.spec","11","8"
".\backend\src\admin\admin.controller.ts","admin.controller","60","57"
".\backend\src\admin\admin.module.ts","admin.module","10","7"
".\backend\src\ai\ai.controller.ts","ai.controller","10","7"
".\backend\src\ai\ai.module.ts","ai.module","14","11"
".\backend\src\ai\ai.service.spec.ts","ai.service.spec","12","9"
".\backend\src\ai\ai.service.stub.ts","ai.service.stub","9","6"
".\backend\src\ai\ai.service.ts","ai.service","36","33"
".\backend\src\ai\ai-assisted-tenant-hardening.spec.ts","ai-assisted-tenant-hardening.spec","4","1"
".\backend\src\ai\openai-payload-boundary.util.ts","openai-payload-boundary.util","11","8"
".\backend\src\ai\openai-request.util.spec.ts","openai-request.util.spec","70","67"
".\backend\src\ai\openai-request.util.ts","openai-request.util","86","83"
".\backend\src\ai\sophie.prompt-resolver.spec.ts","sophie.prompt-resolver.spec","4","1"
".\backend\src\ai\sophie.prompt-resolver.ts","sophie.prompt-resolver","16","13"
".\backend\src\ai\sophie.prompts.ts","sophie.prompts","10","7"
".\backend\src\ai\sophie.types.ts","sophie.types","20","17"
".\backend\src\ai\sophie-facade.service.ts","sophie-facade.service","11","8"
".\backend\src\ai\sophie-task-prompts.spec.ts","sophie-task-prompts.spec","4","1"
".\backend\src\ai\sophie-task-prompts.ts","sophie-task-prompts","19","16"
".\backend\src\aprs\apr-activity-templates.catalog.ts","apr-activity-templates.catalog","10","6"
".\backend\src\aprs\apr-excel.service.spec.ts","apr-excel.service.spec","4","1"
".\backend\src\aprs\apr-excel.service.ts","apr-excel.service","18","15"
".\backend\src\aprs\apr-lock.integration.spec.ts","apr-lock.integration.spec","14","11"
".\backend\src\aprs\apr-risk-matrix.service.spec.ts","apr-risk-matrix.service.spec","4","1"
".\backend\src\aprs\apr-risk-matrix.service.ts","apr-risk-matrix.service","20","17"
".\backend\src\aprs\aprs.controller.spec.ts","aprs.controller.spec","7","4"
".\backend\src\aprs\aprs.controller.ts","aprs.controller","22","19"
".\backend\src\aprs\aprs.module.ts","aprs.module","12","9"
".\backend\src\aprs\aprs.service.spec.ts","aprs.service.spec","116","113"
".\backend\src\aprs\aprs.service.ts","aprs.service","151","148"
".\backend\src\aprs\aprs-workflow.service.spec.ts","aprs-workflow.service.spec","4","1"
".\backend\src\aprs\aprs-workflow.service.ts","aprs-workflow.service","20","17"
".\backend\src\aprs\public-apr-evidence.controller.spec.ts","public-apr-evidence.controller.spec","4","1"
".\backend\src\aprs\public-apr-evidence.controller.ts","public-apr-evidence.controller","14","11"
".\backend\src\aprs\public-apr-verification.controller.spec.ts","public-apr-verification.controller.spec","5","2"
".\backend\src\aprs\public-apr-verification.controller.ts","public-apr-verification.controller","16","13"
".\backend\src\arrs\arrs.controller.spec.ts","arrs.controller.spec","4","1"
".\backend\src\arrs\arrs.controller.ts","arrs.controller","15","12"
".\backend\src\arrs\arrs.module.ts","arrs.module","10","7"
".\backend\src\arrs\arrs.service.spec.ts","arrs.service.spec","4","1"
".\backend\src\arrs\arrs.service.ts","arrs.service","17","14"
".\backend\src\audit\audit.module.ts","audit.module","29","26"
".\backend\src\audit\audit.service.spec.ts","audit.service.spec","7","4"
".\backend\src\audit\audit.service.ts","audit.service","80","77"
".\backend\src\audits\audits.controller.spec.ts","audits.controller.spec","4","1"
".\backend\src\audits\audits.controller.ts","audits.controller","15","12"
".\backend\src\audits\audits.module.ts","audits.module","12","9"
".\backend\src\audits\audits.service.spec.ts","audits.service.spec","57","54"
".\backend\src\audits\audits.service.ts","audits.service","76","73"
".\backend\src\auth\auth.controller.spec.ts","auth.controller.spec","75","72"
".\backend\src\auth\auth.controller.ts","auth.controller","92","89"
".\backend\src\auth\auth.module.ts","auth.module","27","24"
".\backend\src\auth\auth.service.spec.ts","auth.service.spec","4","1"
".\backend\src\auth\auth.service.ts","auth.service","21","18"
".\backend\src\auth\authorization-contract.guard.spec.ts","authorization-contract.guard.spec","4","1"
".\backend\src\auth\authorization-contract.guard.ts","authorization-contract.guard","14","11"
".\backend\src\auth\authorize.decorator.ts","authorize.decorator","56","53"
".\backend\src\auth\auth-principal.service.spec.ts","auth-principal.service.spec","4","1"
".\backend\src\auth\auth-principal.service.ts","auth-principal.service","21","18"
".\backend\src\auth\auth-security.config.spec.ts","auth-security.config.spec","4","1"
".\backend\src\auth\auth-security.config.ts","auth-security.config","18","15"
